recipe,meal_name,total_cost,cost_per_person,servings,ingredients_used,data_source,ingredients
Halo-halo,Halo-halo,48.75,8.12,6,4,DA Official Prices 2026 + Realism Adjustment,"brown_sugar, milk, mung_beans, ice"
Puso ng Sariwa,Puso ng Sariwa,54.56,9.09,6,5,DA Official Prices 2026 + Realism Adjustment,"rice, onion, garlic, salt, oil"
Inahos,Inahos,54.56,9.09,6,5,DA Official Prices 2026 + Realism Adjustment,"rice, onion, garlic, salt, oil"
Burong Alimasag,Burong Alimasag,57.19,9.53,6,5,DA Official Prices 2026 + Realism Adjustment,"rice, onion, garlic, salt, oil"
Sinigang na Gulay,Sinigang na Gulay,84.94,14.16,6,6,DA Official Prices 2026 + Realism Adjustment,"radish, onion, garlic, ginger, salt, oil"
Gising Gising,Gising Gising,90.88,15.15,6,6,DA Official Prices 2026 + Realism Adjustment,"potato, mung_beans, shrimp_paste, onion, garlic, oil"
Lumpiang Gulay,Lumpiang Gulay,92.75,15.46,6,5,DA Official Prices 2026 + Realism Adjustment,"squash, mung_beans, onion, garlic, oil"
Sapin-sapin,Sapin-sapin,98.75,16.46,6,3,DA Official Prices 2026 + Realism Adjustment,"rice_flour, brown_sugar, coconut_milk"
Sinangag,Sinangag,100.52,16.75,6,6,DA Official Prices 2026 + Realism Adjustment,"rice, garlic, onion, oil, salt, egg"
Okra Guisado,Okra Guisado,103.94,17.32,6,6,DA Official Prices 2026 + Realism Adjustment,"okra, onion, garlic, tomato, oil, patis"
Turon,Turon,110.0,18.33,6,3,DA Official Prices 2026 + Realism Adjustment,"banana, brown_sugar, oil"
Pinakbet,Pinakbet,116.38,19.4,6,6,DA Official Prices 2026 + Realism Adjustment,"ampalaya, squash, beans_string, shrimp_paste, onion, oil"
Ginataang Gulay,Ginataang Gulay,120.62,20.1,6,6,DA Official Prices 2026 + Realism Adjustment,"squash, mung_beans, coconut_milk, onion, garlic, oil"
Laing,Laing,120.75,20.13,6,5,DA Official Prices 2026 + Realism Adjustment,"taro_leaves, coconut_milk, garlic, ginger, oil"
Lugaw,Lugaw,121.19,20.2,6,7,DA Official Prices 2026 + Realism Adjustment,"rice, chicken, ginger, garlic, onion, oil, patis"
Sopa de Repolyo,Sopa de Repolyo,136.06,22.68,6,6,DA Official Prices 2026 + Realism Adjustment,"cabbage, onion, garlic, tomato, salt, oil"
Buttered Vegetables,Buttered Vegetables,137.75,22.96,6,6,DA Official Prices 2026 + Realism Adjustment,"broccoli, carrot, cauliflower, butter, salt, oil"
Ginisang Monggo,Ginisang Monggo,140.06,23.34,6,5,DA Official Prices 2026 + Realism Adjustment,"mung_beans, onion, garlic, tomato, oil"
Lumpiang Togue,Lumpiang Togue,150.0,25.0,6,6,DA Official Prices 2026 + Realism Adjustment,"mung_beans, pork, carrot, onion, garlic, oil"
Arroz Caldo,Arroz Caldo,161.75,26.96,6,7,DA Official Prices 2026 + Realism Adjustment,"rice, chicken, ginger, garlic, onion, oil, patis"
Pinapaitan,Pinapaitan,163.31,27.22,6,6,DA Official Prices 2026 + Realism Adjustment,"liver, onion, garlic, tomato, oil, patis"
Fried Noodles,Fried Noodles,170.79,28.47,6,6,DA Official Prices 2026 + Realism Adjustment,"noodles, egg, garlic, onion, oil, patis"
Scrambled Eggs,Scrambled Eggs,173.33,28.89,6,4,DA Official Prices 2026 + Realism Adjustment,"egg, garlic, onion, oil"
Garlic Fried Rice,Garlic Fried Rice,178.31,29.72,6,5,DA Official Prices 2026 + Realism Adjustment,"rice, garlic, egg, onion, oil"
Omelet,Omelet,188.83,31.47,6,5,DA Official Prices 2026 + Realism Adjustment,"egg, onion, tomato, salt, oil"
