recipe,meal_name,total_cost,cost_per_person,servings,ingredients_used,data_source,ingredients
Sinigang na Gulay,Sinigang na Gulay,84.94,14.16,6,6,DA Official Prices 2026 + Realism Adjustment,"radish, onion, garlic, ginger, salt, oil"
Lumpiang Gulay,Lumpiang Gulay,92.75,15.46,6,5,DA Official Prices 2026 + Realism Adjustment,"squash, mung_beans, onion, garlic, oil"
Sinangag,Sinangag,100.52,16.75,6,6,DA Official Prices 2026 + Realism Adjustment,"rice, garlic, onion, oil, salt, egg"
Turon,Turon,110.0,18.33,6,3,DA Official Prices 2026 + Realism Adjustment,"banana, brown_sugar, oil"
Pinakbet,Pinakbet,116.38,19.4,6,6,DA Official Prices 2026 + Realism Adjustment,"ampalaya, squash, beans_string, shrimp_paste, onion, oil"
Lugaw,Lugaw,121.19,20.2,6,7,DA Official Prices 2026 + Realism Adjustment,"rice, chicken, ginger, garlic, onion, oil, patis"
Lumpiang Togue,Lumpiang Togue,150.0,25.0,6,6,DA Official Prices 2026 + Realism Adjustment,"mung_beans, pork, carrot, onion, garlic, oil"
Arroz Caldo,Arroz Caldo,161.75,26.96,6,7,DA Official Prices 2026 + Realism Adjustment,"rice, chicken, ginger, garlic, onion, oil, patis"
Garlic Fried Rice,Garlic Fried Rice,178.31,29.72,6,5,DA Official Prices 2026 + Realism Adjustment,"rice, garlic, egg, onion, oil"
Ginisang Ampalaya,Ginisang Ampalaya,205.56,34.26,6,5,DA Official Prices 2026 + Realism Adjustment,"ampalaya, onion, egg, garlic, oil"
Puto,Puto,213.65,35.61,6,4,DA Official Prices 2026 + Realism Adjustment,"rice_flour, sugar, egg, baking_powder"
Chicken Arroz Caldo,Chicken Arroz Caldo,226.19,37.7,6,7,DA Official Prices 2026 + Realism Adjustment,"chicken, rice, ginger, garlic, onion, oil, patis"
Tortang Talong,Tortang Talong,228.46,38.08,6,6,DA Official Prices 2026 + Realism Adjustment,"eggplant, egg, onion, garlic, salt, oil"
Tapa Barley,Tapa Barley,235.5,39.25,6,4,DA Official Prices 2026 + Realism Adjustment,"pork, salt, garlic, oil"
Goto,Goto,246.25,41.04,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, rice, garlic, ginger, onion, oil, patis"
Pancit Bihon,Pancit Bihon,257.88,42.98,6,7,DA Official Prices 2026 + Realism Adjustment,"noodles, pork, onion, garlic, carrot, oil, patis"
Bibingka,Bibingka,267.29,44.55,6,4,DA Official Prices 2026 + Realism Adjustment,"rice_flour, sugar, egg, coconut_milk"
Pancit Luglog,Pancit Luglog,272.25,45.38,6,7,DA Official Prices 2026 + Realism Adjustment,"noodles, shrimp, pork, onion, garlic, oil, patis"
Tinola,Tinola,273.56,45.59,6,7,DA Official Prices 2026 + Realism Adjustment,"chicken, ginger, onion, garlic, papaya, oil, patis"
Chicken Tinola,Chicken Tinola,273.56,45.59,6,7,DA Official Prices 2026 + Realism Adjustment,"chicken, ginger, onion, garlic, papaya, oil, patis"
Chicken Adobo,Chicken Adobo,274.69,45.78,6,7,DA Official Prices 2026 + Realism Adjustment,"chicken, vinegar, soy_sauce, garlic, onion, oil, patis"
Pancit Canton,Pancit Canton,290.69,48.45,6,6,DA Official Prices 2026 + Realism Adjustment,"noodles, pork, onion, garlic, cabbage, oil"
Chicken Afritada,Chicken Afritada,308.69,51.45,6,6,DA Official Prices 2026 + Realism Adjustment,"chicken, onion, tomato, garlic, potato, oil"
Longganisa,Longganisa,315.75,52.62,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, salt, garlic, sugar, oil"
Tapa,Tapa,316.0,52.67,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, brown_sugar, salt, garlic, oil"
Pork Tocino,Pork Tocino,318.88,53.15,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, brown_sugar, garlic, calamansi, salt, oil"
Lumpia Shanghai,Lumpia Shanghai,328.31,54.72,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, shrimp, carrot, onion, oil"
Kinilawan,Kinilawan,331.94,55.32,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, onion, ginger, chili, oil"
Pork Adobo,Pork Adobo,345.31,57.55,6,8,DA Official Prices 2026 + Realism Adjustment,"pork, vinegar, soy_sauce, garlic, onion, bay_leaves, oil, patis"
Lumpia,Lumpia,378.81,63.14,6,6,DA Official Prices 2026 + Realism Adjustment,"shrimp, pork, carrot, onion, garlic, oil"
Beef Kinilaw,Beef Kinilaw,384.94,64.16,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, onion, ginger, garlic, chili, calamansi"
Adobong Pusit,Adobong Pusit,392.19,65.36,6,7,DA Official Prices 2026 + Realism Adjustment,"squid, vinegar, soy_sauce, garlic, onion, oil, patis"
Ube Cake,Ube Cake,403.75,67.29,6,5,DA Official Prices 2026 + Realism Adjustment,"purple_yam, sugar, egg, flour, oil"
Bistek Tagalog,Bistek Tagalog,405.12,67.52,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, onion, soy_sauce, garlic, lemon, oil"
Adobo sa Gata,Adobo sa Gata,408.44,68.07,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, coconut_milk, onion, garlic, ginger, oil"
Pork Guisado,Pork Guisado,408.56,68.09,6,7,DA Official Prices 2026 + Realism Adjustment,"pork, onion, tomato, garlic, salt, oil, patis"
Pork Afritada,Pork Afritada,410.56,68.43,6,7,DA Official Prices 2026 + Realism Adjustment,"pork, onion, tomato, garlic, potato, chili, oil"
Pork Tinola,Pork Tinola,417.44,69.57,6,7,DA Official Prices 2026 + Realism Adjustment,"pork, ginger, onion, garlic, papaya, oil, patis"
Kulampot,Kulampot,420.0,70.0,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, fish, shrimp, onion, garlic, oil"
Guisadong Hipon,Guisadong Hipon,420.81,70.14,6,5,DA Official Prices 2026 + Realism Adjustment,"shrimp, onion, garlic, tomato, oil"
Inihawin,Inihawin,423.5,70.58,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, soy_sauce, garlic, lemongrass, oil"
Inihaw na Liempo,Inihaw na Liempo,426.0,71.0,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, soy_sauce, garlic, calamansi, oil"
Kinilaw,Kinilaw,430.69,71.78,6,6,DA Official Prices 2026 + Realism Adjustment,"fish, onion, ginger, chili, calamansi, oil"
Hilabos,Hilabos,430.81,71.8,6,5,DA Official Prices 2026 + Realism Adjustment,"shrimp, garlic, onion, tomato, oil"
Sisig,Sisig,431.75,71.96,6,7,DA Official Prices 2026 + Realism Adjustment,"pork, onion, chili, calamansi, salt, oil, patis"
Hawang Alaskan,Hawang Alaskan,432.56,72.09,6,4,DA Official Prices 2026 + Realism Adjustment,"shrimp, garlic, onion, oil"
